step,total_energy,total_revenue
638,1694469.8248814917,233274.04989667432
639,1697091.816762565,233491.67522280337
640,1699713.8086436382,233634.31158113378
641,1702335.8005247114,233776.94793946415
642,1704957.7924057848,233919.58429779453
643,1707579.784286858,234062.22065612496
644,1710201.7761679313,234284.82776682804
645,1712823.7680490047,234507.43487753117
646,1715445.7599300782,234730.0419882343
647,1718067.7518111512,234952.64909893743
648,1720689.7436922246,235586.38453659284
649,1723311.7355732978,236220.11997424823
650,1725933.7274543713,236853.8554119037
651,1728555.7193354445,237487.59084955914
652,1731177.7112165177,238144.13761657986
653,1733799.7030975912,238800.68438360063
654,1736421.6949786646,239457.23115062137
655,1739043.6868597378,240113.77791764212
656,1741665.678740811,241145.26952365637
657,1744287.6706218843,242176.76112967063
658,1746909.6625029575,243208.25273568483
659,1749531.654384031,244239.7443416991
660,1752153.6462651042,245077.9951460782
661,1754775.6381461776,245916.24595045732
662,1757397.6300272509,246754.49675483647
663,1760019.621908324,247592.7475592156
664,1762641.6137893975,248240.37955384067
665,1765263.6056704707,248888.01154846582
666,1767885.5975515442,249535.6435430909
667,1770507.5894326174,250183.27553771602
668,1773129.5813136906,250769.0285239478
669,1775751.573194764,251354.78151017957
670,1778373.5650758375,251940.53449641133
671,1780995.5569569108,252526.2874826431
672,1783617.548837984,252822.83476439252
673,1786239.5407190572,253119.38204614187
674,1788861.5326001304,253415.9293278913
675,1791483.5244812039,253712.47660964064
676,1794105.516362277,253925.12015119573
677,1796727.5082433505,254137.76369275074
678,1799349.5001244238,254350.4072343058
679,1801971.492005497,254563.05077586081
680,1804593.4838865704,254743.70601646675
681,1807215.4757676437,254924.3612570727
682,1809837.467648717,255105.01649767868
683,1812459.4595297903,255285.6717382846
684,1815081.4514108635,255460.034198376
685,1817703.443291937,255634.3966584674
686,1820040.801676583,255789.8309910464
687,1822168.7759769235,255931.34128201898
688,1824296.7506960318,256117.75186741288
689,1826393.6294151396,256301.43844320675
690,1828490.5081964391,256485.12502444861
691,1830587.3869777387,256668.81160569043
692,1832684.2657590383,256891.5001322644
693,1834758.8575403378,257111.82177943847
694,1836833.4493662114,257332.14343134622
695,1838908.0411920848,257552.46508325398
696,1840982.6330179581,257848.9242551713
697,1843192.7868438317,258164.75523688862
698,1845402.9403985809,258480.58617986232
699,1847613.0939533308,258796.41712283608
700,1849823.247508081,259270.71607568543
701,1852361.335062831,259815.38966493477
702,1854899.4219617131,260360.06311343485
703,1857437.508860596,260904.7365619352
704,1859975.5957594796,261185.1951642618
705,1862597.5876405528,261474.92526712042
706,1865219.5795216262,261764.65536997898
707,1867841.5714026995,262054.3854728376
708,1870463.563283773,262324.18843740004
709,1873085.5551648461,262593.99140196247
710,1875707.5470459196,262863.7943665249
711,1878329.5389269928,263133.5973310874
712,1880951.5308080663,263500.6761944376
713,1883573.5226891395,263867.7550577879
714,1886195.514570213,264234.83392113814
715,1888817.5064512861,264601.9127844884
716,1891439.4983323596,265257.4107547567
717,1894061.4902134328,265912.908725025
718,1896683.4820945063,266568.4066952934
719,1899305.4739755795,267223.90466556174
720,1901927.465856653,267674.8872691063
721,1904549.4577377262,268125.8698726509
722,1907171.4496187996,268576.85247619555
723,1909793.4414998728,269027.83507974015
724,1912415.4333809463,269328.5775484992
725,1915037.4252620195,269629.32001725835
726,1917659.417143093,269930.0624860175
727,1920281.4090241662,270230.80495477666
728,1922903.4009052396,270367.9351301568
729,1925525.3927863128,270505.0653055369
730,1928147.3846673863,270642.19548091706
731,1930769.3765484595,270779.3256562972
732,1933391.368429533,270988.82280759496
733,1936013.3603106062,271198.3199588927
734,1938635.3521916796,271407.81711019046
735,1941257.3440727529,271617.3142614882
736,1943879.3359538263,271795.60970940115
737,1946501.3278348995,271973.90515731415
738,1949123.319715973,272152.20060522715
739,1951745.3115970462,272330.49605314014
740,1954367.3034781197,272549.6945743979
741,1956989.2953591929,272768.8930956556
742,1959611.2872402663,272988.0916169133
743,1962233.2791213396,273207.29013817105
744,1964855.271002413,273756.85963644396
745,1967477.2628834862,274306.429134717
746,1970099.2547645597,274855.9986329899
747,1972721.246645633,275405.5681312629
748,1975343.2385267064,276216.28802089073
749,1977965.2304077796,277027.0079105187
750,1980587.222288853,277837.7278001465
751,1983209.2141699262,278648.4476897744
752,1985831.2060509997,279303.68346085463
753,1988453.197932073,279958.9192319348
754,1991075.1898131464,280614.155003015
755,1993697.1816942196,281269.3907740952
756,1996319.173575293,281741.3493126884
757,1998941.1654563663,282213.3078512816
758,2001563.1573374397,282685.26638987474
759,2004185.149218513,283157.224928468
760,2006807.1410995864,283634.68965001137
761,2009429.1329806596,284112.15437155485
762,2012051.124861733,284589.6190930983
763,2014673.1167428063,285067.08381464175
764,2017295.1086238797,285549.5303207592
765,2019917.100504953,286031.9768268767
766,2022539.0923860264,286514.42333299416
767,2025161.0842670996,286996.86983911175
768,2027783.076148173,287329.862808008
769,2030405.0680292463,287662.8557769043
770,2033027.0599103197,287995.8487458006
771,2035649.051791393,288328.8417146969
772,2038271.0436724664,288509.2347561148
773,2040893.0355535396,288689.6277975326
774,2043515.027434613,288870.0208389504
775,2046137.0193156863,289050.4138803682
776,2048759.0111967598,289292.68593017943
777,2051381.003077833,289534.9579799906
778,2054002.9949589064,289777.2300298018
779,2056624.9868399797,290019.502079613
780,2059246.978721053,290259.4143367312
781,2061868.9706021263,290499.32659384934
782,2064490.9624831998,290739.23885096755
783,2066774.6895066528,290948.19987361354
784,2068933.2079142558,291098.4327547827
785,2071019.828572276,291243.66155258095
786,2073106.4493740918,291388.89036038733
787,2075193.070175907,291534.11916819366
788,2077279.6909777229,291746.1198416581
789,2079353.0867795383,291956.7768551226
790,2081426.4826078038,292167.43387127435
791,2083499.8784360692,292378.0908874261
792,2085573.274264335,292659.2433617389
